#timestamp [ns],w_RS_S_x [rad s^-1],w_RS_S_y [rad s^-1],w_RS_S_z [rad s^-1],a_RS_S_x [m s^-2],a_RS_S_y [m s^-2],a_RS_S_z [m s^-2]
-8955134987173948008,0.00390625,0.00390625,0.00390625,-0.0273438,0.015625,-0.00390625
-8955134987166910008,0.00390625,0.00390625,0.00390625,0.0507812,0.015625,-0.0429688
-8955177936829506008,0.00390625,0.00390625,0.00390625,0.0507812,0.015625,-0.0429688
-8955177936822503008,0.00390625,0.00390625,0.00390625,0.0507812,0.015625,0.0351562
-8955177936813799008,0.00390625,0.00390625,0.00390625,0.0507812,-0.0234375,0.0351562
-8955177936804351008,0.00390625,0.00390625,0.00390625,-0.0273438,-0.0234375,0.0351562
-8955177936792042008,0.00390625,0.00390625,0.00390625,0.0117188,0.015625,-0.00390625
-8955177936783902008,0.00390625,0.00390625,0.00390625,0.0117188,0.015625,-0.00390625
-8955177936770746008,0.00390625,0.00390625,0.00390625,0.0117188,-0.0234375,-0.00390625
-8955177936758170008,0,-0.00195312,-0.00195312,0.0117188,-0.0234375,-0.00390625
-8955177936750885008,0,-0.00195312,-0.00195312,0.0117188,0.015625,-0.0429688
-8955199411576414008,0,-0.00195312,-0.00195312,0.0117188,0.015625,-0.0429688
-8955199411564549008,0,-0.00195312,-0.00195312,0.0117188,0.015625,-0.0429688
-8955199411558590008,0,-0.00195312,-0.00195312,-0.0273438,0.015625,0.0351562
-8955199411538492008,0,-0.00195312,-0.00195312,0.0117188,0.015625,0.0351562
-8955199411526981008,0,-0.00195312,-0.00195312,0.0117188,-0.0234375,-0.00390625
-8955199411516390008,0,-0.00195312,-0.00195312,0.0117188,-0.0234375,-0.00390625
-8955199411506594008,0,-0.00195312,-0.00195312,0.0117188,-0.0234375,-0.00390625
-8955199411498018008,-0.00195312,-0.00195312,-0.0078125,0.0117188,-0.0234375,-0.00390625
-8955199411487530008,-0.00195312,-0.00195312,-0.0078125,0.0117188,0.0078125,-0.00390625
-8955199411479304008,-0.00195312,-0.00195312,-0.0078125,0.0117188,0.0078125,0.0742188
-8955199411469665008,-0.00195312,-0.00195312,-0.0078125,0.0117188,0.0078125,-0.00390625
-8955199411459401008,-0.00195312,-0.00195312,-0.0078125,0.0117188,0.0078125,-0.00390625
-8955199411450585008,-0.00195312,-0.00195312,-0.0078125,0.0507812,-0.03125,-0.0429688
-8955199411439234008,-0.00195312,-0.00195312,-0.0078125,-0.0273438,0.015625,-0.00390625
-8955199411428459008,-0.00195312,-0.00195312,-0.0078125,0.0117188,0.015625,-0.0429688
-8955199411419698008,-0.00195312,-0.00195312,-0.0078125,0.0117188,0.015625,-0.00390625
-8955199411408841008,-0.00195312,-0.00195312,-0.0078125,0.00390625,0.015625,-0.00390625
-8955199411400658008,-0.00195312,-0.00195312,-0.0078125,-0.0351562,-0.0234375,-0.00390625
-8955199411391927008,-0.00195312,-0.00195312,-0.0078125,0.0429688,0.015625,0.0351562
-8957170801372691008,-0.00195312,-0.00195312,-0.0078125,0.0429688,0.015625,0.0351562
-8957170801366361008,-0.00195312,-0.00195312,-0.0078125,0.00390625,0.015625,-0.00390625
-8959142191347006008,-0.00195312,-0.00195312,-0.0078125,0.00390625,0.015625,-0.00390625
-8959142191337345008,-0.00195312,-0.00195312,-0.0078125,0.00390625,-0.0234375,0.0351562
-8959142191329869008,-0.00195312,-0.00195312,-0.0078125,0.00390625,-0.0234375,0.0351562
-8959142191321503008,-0.00195312,-0.00195312,-0.0078125,0.00390625,-0.0234375,0.0351562
-8959142191314951008,-0.00195312,-0.00195312,-0.0078125,0.00390625,0.015625,0.0351562
-8959142191307333008,0,0,0,0.00390625,0.015625,0.0351562
-8959142191298834008,0,0,0,-0.0351562,0.015625,-0.00390625
-8959142191286051008,0,0,0,-0.0351562,0.015625,-0.00390625
-8959142191272412008,0,0,0,0.00390625,0.015625,0.0351562
-8959142191260998008,0,0,0,0.00390625,0.015625,-0.00390625
-8959142191252835008,0,0,0,-0.0351562,0.0078125,-0.0429688
-8959142191239008008,0,0,0,0.0429688,0.0078125,0.0351562
-8959142191230407008,0,0,0,0.0429688,0.0078125,0.0351562
